StartDate,EndDate,Status,Progress,Duration__in_seconds_,Finished,RecordedDate,study_id,Day,Q27,Q1,Q3,Q6,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q5_11,Q5_12,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q9_12,Q11,Q12,Q13,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q14_12,Q14_13,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_11,Q15_12,Q16,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17_11,Q17_12,Q17_13,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q18_9,Q18_10,Q18_11,Q18_12,Q19_1,Q19_2,Q19_3,Q19_4,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q20_7,Q20_8,Q21_1,Q21_2,Q22_1,Q23_1,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q24_8,Q24_9,Q24_10,Q24_11,Q24_12,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q25_9,Q25_10,Q25_11,Q25_12,Q30_1,Q30_2,Q30_3,Q30_4
NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-22T16:35:47Z,2019-04-22T17:35:11Z,0,100,3564,1,2019-04-22T17:35:12Z,2,1,1,4,1,I saw two of my friends outside sitting by an academic building and I went over to talk to them. I also sold one of my earrings to one of them.,1,1,6,7,6,1,1,6,1,1,6,6,1,1,1,4,1,3,4,4,5,1,1,1,4,A prospective student's mother needed directions to the school's library and she wouldn't stop talking. So I had to fake that I was engaged in the conversation.,3,2,6,6,5,3,2,4,3,1,4,6,1,1,1,1,1,1,1,4,4,1,1,1,4,5,1,"When I was taking pictures around campus, I felt the most authentic because I felt so at peace with myself and the environment around me.",1,4,6,6,6,1,1,6,1,1,6,1,1,1,1,1,2,4,4,4,4,1,1,1,4,When I tried to study for my two exams but didn't even open my notes because I got distracted.,1,6,2,6,2,3,5,3,4,1,2,3,6,3,3,1,1,1,5,3,1,1,1,1,1,5,2,5,1,7,7,1,1,7,7,1,1,0,20,10,7,4,4,4,3,1,3,3,1,1,2,1,1,6,5,1,1,6,6,1,4,6,6,1,1,5,1,3,4
2019-04-23T18:14:31Z,2019-04-23T18:30:24Z,0,100,952,1,2019-04-23T18:30:24Z,2,2,16,5,1,I was hanging out with my girlfriend and our friend at the library. We were in casual conversation and we laughed a whole bunch. It was a very pleasant time.,1,4,6,7,7,1,1,7,1,1,7,6,1,1,1,4,3,5,NA,5,5,1,1,1,4,I did not have any inauthentic interactions today.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,When I was sitting outside in the quad while the sun was still out. It felt so nice to feel the sun's warmth on my skin and get some Vitamin D. It has been a while since I chilled outside Rochester's weather is so all over the place.,1,6,7,7,7,1,1,6,1,1,7,6,1,1,1,3,3,5,4,5,5,1,1,1,4,When I didn't finish grading a student's essay. I was so close to finished but it was so hard to read - I didn't want to continue anymore. I'm still postponing it.,1,4,4,6,4,1,4,5,1,1,6,4,2,1,1,1,1,1,1,5,4,1,1,1,1,4,4,5,1,7,7,1,1,7,7,1,1,0,15,5,5,4,5,5,3,1,1,4,3,3,1,1,1,7,6,1,1,6,6,1,1,7,7,1,1,6,2,1,6
2019-04-24T20:14:54Z,2019-04-24T21:08:36Z,0,100,3222,1,2019-04-24T21:08:37Z,2,3,17,4,2,I was catching with a friend after having not seeing him for a while. We got to hang out the whole evening together at this museum and had a few drinks .,1,5,6,6,6,2,1,5,1,1,6,6,1,1,1,3,3,4,3,5,5,1,1,1,4,I had to speak to some alumni relations people and we had nothing in common. It was hard to carry on the conversation and be engaged.,2,2,4,6,5,5,2,4,4,2,2,6,2,1,1,1,1,4,1,4,4,1,1,1,4,4,2,Playing Nintendo 64 alone at the Strong Museum of Play. It reminded me of my childhood so much and I enjoyed playing Mario again.,1,6,7,7,6,1,1,7,1,1,6,6,1,1,1,4,3,4,3,5,4,1,1,1,4,Sipping on wine in a room full of undergraduates and not talking to any of them.,1,1,3,6,3,3,1,4,5,1,3,6,1,1,1,1,1,4,1,4,4,1,1,1,3,4,6,6,1,6,7,1,6,7,6,1,1,0,20,5,8,4,4,3,2,1,1,3,3,3,2,1,1,6,6,3,3,6,6,2,1,6,6,1,6,6,1,1,6
2019-04-25T17:45:04Z,2019-04-25T19:26:03Z,0,100,6058,1,2019-04-25T19:26:03Z,2,4,18,5,1,"When my friends and I met up and hung out outside. It was super sunny and nice outside, and we were all in conversation.",1,6,6,7,6,1,1,6,1,1,7,7,1,1,2,4,3,5,5,4,5,1,1,1,5,I did not experience an inauthentic experience today.,1,6,7,7,7,1,1,7,1,1,7,7,1,1,1,1,1,5,5,5,5,1,1,1,5,5,1,I was sitting outside basking in the sun and just enjoying the day. I didn't think about all the studying and accomplishments I have to do. I was just focusing on the present.,1,6,7,7,6,1,1,7,1,1,7,6,1,1,1,3,3,5,5,5,5,1,1,1,5,N/A,1,6,7,7,7,1,1,7,1,1,7,7,1,1,1,1,1,5,5,5,5,1,1,1,4,3,3,2,1,7,7,1,1,7,7,1,1,0,30,3,10,4,5,4,1,1,1,4,4,4,1,1,1,7,7,1,1,7,6,1,1,7,7,1,1,NA,1,1,6
2019-04-26T22:04:23Z,2019-04-26T22:15:42Z,0,100,679,1,2019-04-26T22:15:43Z,2,5,19,4,2,"I went to this restaurant with some friends and my girlfriend, we played foosball and pool while we were eating out pizza and drinking our cocktails. It was a great time to spend my Friday evening.",1,4,7,7,7,1,1,7,1,1,7,7,1,1,1,5,5,5,5,5,5,1,1,1,5,Our waiter at this restaurant was very passive aggressive towards the end our time there but I kept my cool because he wasn't worth my energy nor time.,1,5,5,6,5,1,1,6,1,1,6,7,1,1,1,1,1,1,1,3,4,1,1,4,1,5,1,I was prepping for my interview for later that day and I felt very well prepared. I was even looking forward to the interview.,1,5,7,7,7,1,1,7,1,1,7,7,1,2,2,2,1,3,5,5,5,1,1,1,5,N/a,1,4,7,7,7,1,1,7,1,1,7,7,1,1,1,3,1,4,5,5,5,1,1,1,5,2,1,1,1,6,6,1,5,5,6,1,1,0,20,5,20,5,5,5,3,3,2,5,5,5,1,1,1,7,7,2,1,7,7,1,1,7,7,1,1,7,1,1,7
