StartDate,study_id,withdraw,EndDate,Status,Progress,Duration__in_seconds_,Finished,RecordedDate,date,bpns_gen_1,bpns_gen_2,bpns_gen_3,bpns_gen_4,bpns_gen_5,bpns_gen_6,bpns_gen_7,bpns_gen_8,bpns_gen_9,bpns_gen_10,bpns_gen_11,bpns_gen_12,bpns_gen_13,bpns_gen_14,bpns_gen_15,bpns_gen_16,bpns_gen_17,bpns_gen_18,bpns_gen_19,bpns_gen_20,bpns_gen_21,bpns_gen_22,bpns_gen_23,bpns_gen_24,bpns_gen_25,bfi_1,bfi_2,bfi_3,bfi_4,bfi_5,bfi_6,bfi_7,bfi_8,bfi_9,bfi_10,bfi_11,bfi_12,bfi_13,bfi_14,bfi_15,bfi_16,bfi_17,bfi_18,bfi_19,bfi_20,bfi_21,bfi_22,bfi_23,bfi_24,bfi_25,bfi_26,bfi_27,bfi_28,bfi_29,bfi_30,bfi_31,bfi_32,bfi_33,bfi_34,bfi_35,bfi_36,bfi_37,bfi_38,bfi_39,bfi_40,bfi_41,bfi_42,bfi_43,bfi_44,bfi_45,afi_1,afi_2,afi_3,afi_4,afi_5,afi_6,afi_7,afi_8,afi_9,afi_10,afi_11,afi_12,afi_13,afi_14,afi_15,afi_16,authentic_1,authentic_2,authentic_3,authentic_4,authentic_5,authentic_6,authentic_7,authentic_8,authentic_9,authentic_10,authentic_11,authentic_12,authentic_13,selfreflect_1,selfreflect_2,selfreflect_3,selfreflect_4,selfreflect_5,selfreflect_6,selfreflect_7,selfreflect_8,selfreflect_9,selfreflect_10,selfreflect_11,selfreflect_12,selfreflect_13,gender,gender_3_TEXT,Q42,ethnicity_1,ethnicity_2,ethnicity_3,ethnicity_4,ethnicity_5,ethnicity_6,ethnicity_7,iphone,consent,consent1,consent2,Q12,Q20,Q53,Q32,Q35,Q31,Q52,Q30,Q37,Q38,Q39,Q51,Q40,Q50,Q51.0
2019-04-16T13:25:10Z,NA,1,2019-04-16T13:26:26Z,0,10,75,0,2019-04-23T13:26:27Z,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-12T11:04:40Z,NA,1,2019-04-12T11:09:12Z,0,100,272,1,2019-04-12T11:09:13Z,5,4,4,5,5,2,2,2,4,4,4,4,4,3,4,5,5,3,4,4,3,6,4,6,5,2,1,2,5,5,2,5,4,3,3,2,2,1,5,4,2,2,3,2,5,2,5,4,3,2,2,1,4,4,5,2,5,4,4,2,4,1,1,5,4,2,3,4,3,2,5,4,3,3,3,4,5,5,3,5,4,2,3,4,4,3,1,5,4,3,4,4,5,3,3,4,3,3,3,3,5,3,4,6,6,6,7,9,7,9,4,2,5,2,,4,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
2019-04-15T17:49:38Z,NA,1,2019-04-15T17:55:14Z,0,84,336,0,2019-04-22T17:55:27Z,8,6,5,5,6,4,2,2,3,6,6,6,6,2,2,3,1,5,5,5,5,4,4,4,3,2,2,3,4,3,4,4,4,3,4,4,3,1,4,3,3,3,4,4,5,4,4,4,4,3,4,3,2,3,3,4,4,4,4,4,2,2,3,4,5,4,3,4,3,4,5,4,5,4,3,4,3,2,3,1,4,4,3,4,4,3,1,5,4,2,3,3,3,4,4,4,2,4,2,3,6,7,4,3,8,6,3,5,2,3,6,7,5,1,,2,NA,NA,NA,NA,1,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-16T11:11:15Z,NA,1,2019-04-16T11:17:19Z,0,12,363,0,2019-04-23T11:53:11Z,2,4,5,6,6,3,2,2,5,6,6,5,6,2,2,2,2,5,6,5,5,5,3,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-23T13:31:12Z,NA,1,2019-04-23T13:38:43Z,0,100,450,1,2019-04-23T13:38:43Z,16,6,5,5,6,1,1,3,3,5,6,6,6,3,3,3,4,7,6,6,6,4,1,4,2,2,4,4,5,4,4,3,5,1,3,3,4,3,5,5,3,4,5,1,5,3,3,5,2,2,4,4,2,5,4,4,4,5,4,2,3,5,3,5,4,4,2,4,3,2,5,5,4,5,4,5,1,1,3,3,5,4,4,4,4,4,1,4,1,1,2,2,4,1,4,5,1,4,1,3,8,8,8,4,8,7,3,8,2,3,6,7,5,2,,4,NA,NA,NA,NA,1,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2019-04-22T09:26:59Z,NA,1,2019-04-22T09:35:44Z,0,100,525,1,2019-04-22T09:35:45Z,15,6,6,6,6,2,1,1,4,6,6,6,6,1,1,1,1,6,6,6,6,1,1,1,1,2,2,1,4,1,4,1,4,2,4,4,3,1,4,2,4,4,4,1,2,2,2,4,3,4,3,4,1,4,2,2,3,5,4,4,3,4,1,4,3,4,4,4,2,1,5,4,4,4,4,4,3,4,2,3,2,4,4,4,4,4,1,4,2,4,2,4,4,1,4,4,1,4,1,3,7,8,7,0,8,8,0,7,0,0,7,8,5,2,,3,NA,1,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2019-04-12T12:41:37Z,NA,1,2019-04-12T12:53:06Z,0,100,689,1,2019-04-12T12:53:07Z,5,6,3,5,5,4,2,2,4,6,6,6,6,4,2,3,1,6,5,6,5,5,4,4,3,2,4,3,5,1,3,4,4,1,4,4,5,1,5,2,4,4,5,2,4,3,4,5,2,4,3,2,1,4,2,4,3,5,4,4,4,4,1,4,3,4,2,4,2,5,5,4,4,4,4,3,3,2,2,2,3,3,3,3,3,3,1,3,3,2,2,4,2,3,3,3,3,4,3,3,6,3,3,6,7,6,6,3,2,3,3,6,5,2,,4,NA,NA,NA,1,NA,1,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,10,1,1,NA,NA,NA,1,NA,NA
2019-04-13T09:48:11Z,NA,1,2019-04-13T10:00:04Z,0,100,713,1,2019-04-13T10:00:04Z,6,6,5,6,6,2,2,2,2,6,7,6,6,3,2,2,2,6,6,6,6,2,2,2,2,2,4,2,4,2,4,2,3,2,3,4,4,2,4,4,4,4,4,2,4,4,2,4,2,3,4,4,4,4,5,4,2,4,4,4,4,5,4,4,3,4,4,4,2,4,5,4,4,4,4,4,2,2,3,2,3,4,4,4,4,4,1,5,2,2,1,1,3,2,4,4,2,4,2,3,9,9,9,0,8,8,1,1,0,9,6,9,5,2,,5,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,3,1,1,NA,NA,NA,1,NA,NA
2019-04-22T11:25:38Z,NA,1,2019-04-22T11:38:22Z,0,100,764,1,2019-04-22T11:38:26Z,15,5,5,5,4,3,2,3,4,6,6,6,5,2,2,2,2,5,6,5,6,3,2,2,2,2,3,2,4,2,3,4,4,2,4,3,4,1,4,3,2,3,3,2,4,3,4,4,4,4,2,3,2,4,3,3,4,4,4,2,4,3,3,4,3,3,3,3,2,2,5,4,3,4,3,4,4,3,3,2,3,3,2,4,4,3,1,4,2,2,2,2,2,2,3,4,2,4,2,3,6,2,3,4,7,7,4,8,8,7,2,5,5,2,,2,NA,1,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2019-04-15T16:10:35Z,NA,1,2019-04-15T16:24:25Z,0,100,830,1,2019-04-15T16:24:26Z,8,3,5,4,3,5,5,5,4,4,4,7,5,3,2,2,2,3,3,5,3,5,5,4,5,2,2,2,2,2,2,3,4,2,2,3,2,1,3,3,2,4,4,2,5,2,4,3,2,3,3,3,4,3,2,2,4,4,2,3,3,2,2,4,4,2,2,4,4,2,5,4,4,4,3,3,4,4,4,3,4,3,2,3,3,2,1,2,3,4,4,5,4,3,3,3,3,3,3,3,3,3,3,7,3,3,6,7,8,5,3,5,5,1,,7,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,NA,1,NA,5,NA,NA,NA,1,NA,NA,NA,NA,NA
2019-04-22T09:40:44Z,NA,1,2019-04-22T09:57:50Z,0,100,1026,1,2019-04-22T09:57:50Z,15,6,4,4,4,7,5,4,5,5,4,4,4,3,4,3,3,5,4,4,4,4,4,5,2,2,5,3,2,4,4,2,3,3,3,4,4,1,2,1,5,3,4,5,4,3,1,2,5,2,2,2,2,1,4,4,4,5,2,4,4,4,2,3,3,5,3,3,5,3,5,4,3,3,3,4,3,2,4,2,5,5,4,5,5,5,1,4,3,2,2,3,2,2,3,3,3,3,3,3,9,9,2,0,8,9,0,2,0,0,10,6,5,2,,4,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,2,1,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA
2019-04-15T18:54:03Z,NA,1,2019-04-15T19:13:44Z,0,100,1180,1,2019-04-15T19:13:45Z,8,6,6,5,6,5,4,5,4,6,6,6,4,4,4,4,6,5,5,6,6,7,6,5,4,2,5,3,3,3,5,2,2,2,2,3,4,2,4,3,3,4,4,3,4,4,2,4,3,2,2,4,2,2,3,4,2,4,4,3,4,5,2,4,4,3,2,4,4,5,5,4,4,3,4,4,3,2,2,4,3,4,4,4,2,4,1,4,2,2,3,3,3,2,4,2,2,4,2,3,4,5,3,8,5,4,8,8,7,7,7,5,5,2,,3,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,1,1,NA,2,NA,6,NA,NA,NA,1,NA,NA,NA,NA,NA
